issue_type	path	position	source_file	source_id	source_ordinal	text	token_form	token_gloss	token_tag	uid
empty_category_without_tag	$.pages[0].sentences[25]	4	data/ped-gramm.json	ped-gramm	1	João liGeladi ane napioi	*T*			f081c545-c42b-463d-b57f-db87787f20e7
empty_category_without_tag	$.pages[0].sentences[29]	3	data/ped-gramm.json	ped-gramm	1	Eyodi ane niganaGacanajo	*T*			7b806584-75e5-4017-b9e2-ba97458903bd
empty_category_without_tag	$.pages[0].sentences[34]	5	data/ped-gramm.json	ped-gramm	1	iGeladi ipegitegi naigi ane napioi	*T*			014fefb1-d5e3-48c8-9ac3-9e713a41407f
empty_category_without_tag	$.pages[0].sentences[56]	3	data/ped-gramm.json	ped-gramm	1	etogo aneiwaGadi adakake lojedi .	*T*			2c0248b3-8f68-46e9-b41c-9f7807572c87
empty_category_without_tag	$.pages[0].sentences[4]	3	data/hil-data.json	hil-data	2	Etogo aneiwaGadi adakake lojedi	*T*			e349508c-4d86-48b8-9918-057988755e77
empty_category_without_tag	$.pages[0].sentences[5]	3	data/hil-data.json	hil-data	2	Etogo ane iwaGadi adakake loojedi	*T*			1d10c633-e74d-4e27-ac23-6b6b2dde9647
empty_category_without_tag	$.pages[0].sentences[38]	4	data/hil-data.json	hil-data	2	NaGani wetiGa ane iwaGadi eniteloco iGonagi	*T*			38f73c1c-ddfb-4153-9310-d24214cd68e7
empty_category_without_tag	$.pages[0].sentences[39]	4	data/hil-data.json	hil-data	2	NaGani wetiGa ane iwaGadi iGonagi	*T*			e1bcbfa4-89e4-4d25-8d84-bc9ed0b2f7e4
empty_category_without_tag	$.pages[0].sentences[43]	6	data/hil-data.json	hil-data	2	Nigidiwa noGojedi lixagotaGaGa adakake lojedi	*T*			83fdcd4c-338f-4a9f-8545-da8539e67e9d
empty_category_without_tag	$.pages[0].sentences[37]	4	data/van-data.json	van-data	3	ani wetiGa ane iwaGadi eniteloco iGonagi	*T*			61da4017-2140-4577-82e4-d5108efae675
empty_category_without_tag	$.pages[0].sentences[46]	6	data/van-data.json	van-data	3	idiwa noGojedi lixagotaGaGa adakake loojedi	*T*			fad6e8d3-1e9f-451c-aaa7-fd28aecfd967
