conllu_count	issue_type	path	source_file	source_id	source_ordinal	text	token_count	uid
0	token_conllu_count_mismatch	$.pages[0].sentences[0]	data/ped-gramm.json	ped-gramm	1	ajo liwatece ja iwaGadi	4	ed98d4d1-638c-4377-8c6d-5511855636d1
0	token_conllu_count_mismatch	$.pages[0].sentences[1]	data/ped-gramm.json	ped-gramm	1	ajo liwatece etadi weiigi	4	ccb5ea37-b3ba-47a9-8d71-224f599ea7be
0	token_conllu_count_mismatch	$.pages[0].sentences[2]	data/ped-gramm.json	ped-gramm	1	ajo niwatece etadi digoida	4	49347527-d19d-4689-bff1-ba3e497e7b1f
0	token_conllu_count_mismatch	$.pages[0].sentences[3]	data/ped-gramm.json	ped-gramm	1	niwatece iwaGadi	2	69948fe6-81f6-4faa-a344-8f8c47486943
0	token_conllu_count_mismatch	$.pages[0].sentences[4]	data/ped-gramm.json	ped-gramm	1	niwatece etadi weiigi	3	b2e3ea43-0d68-46ee-9f33-938610cc8aec
0	token_conllu_count_mismatch	$.pages[0].sentences[5]	data/ped-gramm.json	ped-gramm	1	ajo niwatece ipegitege weiigi	4	1b99ecb9-5656-4c38-b60b-fbbe643708fb
0	token_conllu_count_mismatch	$.pages[0].sentences[6]	data/ped-gramm.json	ped-gramm	1	liGeladi Maria aGipegetege	4	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9
0	token_conllu_count_mismatch	$.pages[0].sentences[7]	data/ped-gramm.json	ped-gramm	1	ica liGeladi ipegetege	3	79a6cd4e-b585-437a-9084-1fa077dec3b6
0	token_conllu_count_mismatch	$.pages[0].sentences[8]	data/ped-gramm.json	ped-gramm	1	liGeladi idei nigotaGa	3	e9d6dfb6-656d-44aa-ba17-86289fd72268
0	token_conllu_count_mismatch	$.pages[0].sentences[9]	data/ped-gramm.json	ped-gramm	1	ica liGeladi ipegitegi	3	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
0	token_conllu_count_mismatch	$.pages[0].sentences[10]	data/ped-gramm.json	ped-gramm	1	ica Maria looligi alidi	5	fef391af-9e63-419f-8f81-057459193f49
0	token_conllu_count_mismatch	$.pages[0].sentences[11]	data/ped-gramm.json	ped-gramm	1	ica looligi lidi	3	070d221f-f72d-4055-9c82-ddc383743e6a
0	token_conllu_count_mismatch	$.pages[0].sentences[12]	data/ped-gramm.json	ped-gramm	1	ica looligi dapico	3	68277d1f-c30b-4c4f-ba9e-c2883cc133af
0	token_conllu_count_mismatch	$.pages[0].sentences[13]	data/ped-gramm.json	ped-gramm	1	ica looligi ja dapico	4	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5
0	token_conllu_count_mismatch	$.pages[0].sentences[14]	data/ped-gramm.json	ped-gramm	1	ica looligi lideGegi	3	c5bd2cb2-e53b-40e4-9159-6dacde49c1b6
0	token_conllu_count_mismatch	$.pages[0].sentences[15]	data/ped-gramm.json	ped-gramm	1	loigipodi libinienigipi	2	19cc39ce-fe03-4551-8097-9d163a38a3c0
0	token_conllu_count_mismatch	$.pages[0].sentences[16]	data/ped-gramm.json	ped-gramm	1	ica loigi ijo niganigi ipegitegi GanigotGa	6	12147353-b422-4ad7-9bef-1d20e70e2a74
0	token_conllu_count_mismatch	$.pages[0].sentences[17]	data/ped-gramm.json	ped-gramm	1	ica lideGegi loligi idei liGeladi	5	582429f2-67d5-4077-b209-6deb7b5df54f
0	token_conllu_count_mismatch	$.pages[0].sentences[18]	data/ped-gramm.json	ped-gramm	1	ica liwigo libinienigi	3	0f478381-6858-463d-94cc-903e9dc879f9
0	token_conllu_count_mismatch	$.pages[0].sentences[19]	data/ped-gramm.json	ped-gramm	1	ica niwigo libinienigi	3	55551636-8ed3-4545-8510-d8dbfd817a1a
0	token_conllu_count_mismatch	$.pages[0].sentences[20]	data/ped-gramm.json	ped-gramm	1	ica nioladi Ganixoa	3	5d0b94bf-223d-4f09-8c6f-b951a70d6d0b
0	token_conllu_count_mismatch	$.pages[0].sentences[21]	data/ped-gramm.json	ped-gramm	1	ica nioladi nioxoa libinienigi	4	881131dd-3f70-411a-ac7e-85557139d1e3
0	token_conllu_count_mismatch	$.pages[0].sentences[22]	data/ped-gramm.json	ped-gramm	1	ica nioladi lodawa libinienigi	4	95a7d135-4be0-463d-b443-76cc5828fc89
0	token_conllu_count_mismatch	$.pages[0].sentences[23]	data/ped-gramm.json	ped-gramm	1	iGeladi idei naigi anenapioi	5	2f47b402-9fe7-4714-96e3-c6cbdf405472
0	token_conllu_count_mismatch	$.pages[0].sentences[24]	data/ped-gramm.json	ped-gramm	1	iGeladi idei naigi me napioi	5	a4d33655-fe74-4df2-8d5e-b3c88fba5fd1
0	token_conllu_count_mismatch	$.pages[0].sentences[25]	data/ped-gramm.json	ped-gramm	1	João liGeladi ane napioi	5	f081c545-c42b-463d-b57f-db87787f20e7
0	token_conllu_count_mismatch	$.pages[0].sentences[26]	data/ped-gramm.json	ped-gramm	1	iGeladi idei mijo naigi naGajo	6	7b810df7-6ed0-4027-b2fe-72c64e9ca1dc
0	token_conllu_count_mismatch	$.pages[0].sentences[27]	data/ped-gramm.json	ped-gramm	1	Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	8	ee1a1190-7803-404c-83f6-49d3ccf63b0d
0	token_conllu_count_mismatch	$.pages[0].sentences[28]	data/ped-gramm.json	ped-gramm	1	Eyodi me niganaGacanajo	3	4bdb4b8f-0176-4303-8a13-e313fbb6d7ad
0	token_conllu_count_mismatch	$.pages[0].sentences[29]	data/ped-gramm.json	ped-gramm	1	Eyodi ane niganaGacanajo	4	7b806584-75e5-4017-b9e2-ba97458903bd
0	token_conllu_count_mismatch	$.pages[0].sentences[30]	data/ped-gramm.json	ped-gramm	1	Eyodi daGa niganaGacanajo	3	845b9d1d-ad7c-445a-bfbd-04fd9255ffc2
0	token_conllu_count_mismatch	$.pages[0].sentences[31]	data/ped-gramm.json	ped-gramm	1	iGeladi idei digoida	3	a4ccc755-a644-4b04-ab1b-698e7acea4cc
0	token_conllu_count_mismatch	$.pages[0].sentences[32]	data/ped-gramm.json	ped-gramm	1	iGeladi ipegitaGagi	2	82117289-be52-45d0-886d-a5747eb20ea2
0	token_conllu_count_mismatch	$.pages[0].sentences[33]	data/ped-gramm.json	ped-gramm	1	iGeladi ipegitegi liGeladi	3	50f93fbc-14fa-48e7-b8ba-22f744109348
0	token_conllu_count_mismatch	$.pages[0].sentences[34]	data/ped-gramm.json	ped-gramm	1	iGeladi ipegitegi naigi ane napioi	6	014fefb1-d5e3-48c8-9ac3-9e713a41407f
0	token_conllu_count_mismatch	$.pages[0].sentences[35]	data/ped-gramm.json	ped-gramm	1	iGeladi ipegitegi naigi me napioi	5	bb8018ba-76b3-43f2-82ea-78b6009c1f90
0	token_conllu_count_mismatch	$.pages[0].sentences[36]	data/ped-gramm.json	ped-gramm	1	iGeladi aGipegitegi weiigi	4	1da1bf7a-7975-4baf-821b-9df5c75ac297
0	token_conllu_count_mismatch	$.pages[0].sentences[37]	data/ped-gramm.json	ped-gramm	1	ijo Gatodi etijo ida .	5	46bbf9a8-c650-4e4b-a44f-78bfe6c5d979
0	token_conllu_count_mismatch	$.pages[0].sentences[38]	data/ped-gramm.json	ped-gramm	1	ijotawece etidi akiidi .	4	4ffc2f68-0474-488f-a94e-4065f952482a
0	token_conllu_count_mismatch	$.pages[0].sentences[39]	data/ped-gramm.json	ped-gramm	1	iGeladi digoida weiigi .	4	10e550d6-df13-4527-8aee-aa23e3f2fcdd
0	token_conllu_count_mismatch	$.pages[0].sentences[40]	data/ped-gramm.json	ped-gramm	1	iGeladi idei weiigi .	4	874c123b-4c43-4001-bfce-8af4af0e5805
0	token_conllu_count_mismatch	$.pages[0].sentences[41]	data/ped-gramm.json	ped-gramm	1	nigotaGa liGeladi ipegitegi weiigi .	5	aad13f14-bd9a-462a-9a43-68ba69a81519
0	token_conllu_count_mismatch	$.pages[0].sentences[42]	data/ped-gramm.json	ped-gramm	1	lotaGa GanaginaGa libinienaGa .	4	19401990-aa1d-4cf5-bea1-122254c6b77a
0	token_conllu_count_mismatch	$.pages[0].sentences[43]	data/ped-gramm.json	ped-gramm	1	nGida niwenigi daGaxa me dakake loojedi .	7	6d2a809e-0d32-4254-9489-f9e356e22493
0	token_conllu_count_mismatch	$.pages[0].sentences[44]	data/ped-gramm.json	ped-gramm	1	João liGeladi napioi .	4	c25b098d-6b0a-4416-a31d-6d7219685a63
0	token_conllu_count_mismatch	$.pages[0].sentences[45]	data/ped-gramm.json	ped-gramm	1	liGeladi João napioi .	4	4e0112b1-baf1-4a7a-bf9e-88fabbe1edc5
