conllu_count	issue_type	path	text	token_count	uid
0	token_conllu_count_mismatch	$.pages[0].sentences[0]	ajo liwatece ja iwaGadi	4	ed98d4d1-638c-4377-8c6d-5511855636d1
0	token_conllu_count_mismatch	$.pages[0].sentences[1]	ajo liwatece etadi weiigi	4	ccb5ea37-b3ba-47a9-8d71-224f599ea7be
0	token_conllu_count_mismatch	$.pages[0].sentences[2]	ajo niwatece etadi digoida	4	49347527-d19d-4689-bff1-ba3e497e7b1f
0	token_conllu_count_mismatch	$.pages[0].sentences[3]	niwatece iwaGadi	2	69948fe6-81f6-4faa-a344-8f8c47486943
0	token_conllu_count_mismatch	$.pages[0].sentences[4]	niwatece etadi weiigi	3	b2e3ea43-0d68-46ee-9f33-938610cc8aec
0	token_conllu_count_mismatch	$.pages[0].sentences[5]	ajo niwatece ipegitege weiigi	4	1b99ecb9-5656-4c38-b60b-fbbe643708fb
0	token_conllu_count_mismatch	$.pages[0].sentences[6]	liGeladi Maria aGipegetege	4	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9
0	token_conllu_count_mismatch	$.pages[0].sentences[7]	ica liGeladi ipegetege	3	79a6cd4e-b585-437a-9084-1fa077dec3b6
0	token_conllu_count_mismatch	$.pages[0].sentences[8]	liGeladi idei nigotaGa	3	e9d6dfb6-656d-44aa-ba17-86289fd72268
0	token_conllu_count_mismatch	$.pages[0].sentences[9]	ica liGeladi ipegitegi	3	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
0	token_conllu_count_mismatch	$.pages[0].sentences[10]	ica Maria looligi alidi	5	fef391af-9e63-419f-8f81-057459193f49
0	token_conllu_count_mismatch	$.pages[0].sentences[11]	ica looligi lidi	3	070d221f-f72d-4055-9c82-ddc383743e6a
0	token_conllu_count_mismatch	$.pages[0].sentences[12]	ica looligi dapiko	3	68277d1f-c30b-4c4f-ba9e-c2883cc133af
0	token_conllu_count_mismatch	$.pages[0].sentences[13]	ica looligi ja dapiko	4	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5
0	token_conllu_count_mismatch	$.pages[0].sentences[14]	ica looligi lidGegi	3	c5bd2cb2-e53b-40e4-9159-6dacde49c1b6
0	token_conllu_count_mismatch	$.pages[0].sentences[15]	loigipodi libinienigipi	2	19cc39ce-fe03-4551-8097-9d163a38a3c0
0	token_conllu_count_mismatch	$.pages[0].sentences[16]	ica loigi ijo niganigi ipegitegi GanigotGa	6	12147353-b422-4ad7-9bef-1d20e70e2a74
0	token_conllu_count_mismatch	$.pages[0].sentences[17]	ica lidGegi loligi idei liGeladi	5	582429f2-67d5-4077-b209-6deb7b5df54f
0	token_conllu_count_mismatch	$.pages[0].sentences[18]	ica liwigo libinienigi	3	0f478381-6858-463d-94cc-903e9dc879f9
0	token_conllu_count_mismatch	$.pages[0].sentences[19]	ica niwigo libinienigi	3	55551636-8ed3-4545-8510-d8dbfd817a1a
0	token_conllu_count_mismatch	$.pages[0].sentences[20]	ica nioladi Ganixoa	3	5d0b94bf-223d-4f09-8c6f-b951a70d6d0b
0	token_conllu_count_mismatch	$.pages[0].sentences[21]	ica nioladi nioxoa libinienigi	4	881131dd-3f70-411a-ac7e-85557139d1e3
0	token_conllu_count_mismatch	$.pages[0].sentences[22]	ica nioladi lodawa libinienigi	4	95a7d135-4be0-463d-b443-76cc5828fc89
0	token_conllu_count_mismatch	$.pages[0].sentences[23]	iGeladi idei naigi anenapioi	5	2f47b402-9fe7-4714-96e3-c6cbdf405472
0	token_conllu_count_mismatch	$.pages[0].sentences[24]	iGeladi idei naigi me napioi	5	a4d33655-fe74-4df2-8d5e-b3c88fba5fd1
0	token_conllu_count_mismatch	$.pages[0].sentences[25]	João liGeladi ane napioi	4	f081c545-c42b-463d-b57f-db87787f20e7
0	token_conllu_count_mismatch	$.pages[0].sentences[26]	iGeladi idei mijo naigi naGajo	6	7b810df7-6ed0-4027-b2fe-72c64e9ca1dc
0	token_conllu_count_mismatch	$.pages[0].sentences[27]	Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	7	ee1a1190-7803-404c-83f6-49d3ccf63b0d
0	token_conllu_count_mismatch	$.pages[0].sentences[28]	Eyodi me niganaGacanajo	3	4bdb4b8f-0176-4303-8a13-e313fbb6d7ad
0	token_conllu_count_mismatch	$.pages[0].sentences[29]	Eyodi ane niganaGacanajo	4	7b806584-75e5-4017-b9e2-ba97458903bd
0	token_conllu_count_mismatch	$.pages[0].sentences[30]	Eyodi daGa niganaGacanajo	3	845b9d1d-ad7c-445a-bfbd-04fd9255ffc2
0	token_conllu_count_mismatch	$.pages[0].sentences[31]	iGeladi idei digoida	3	a4ccc755-a644-4b04-ab1b-698e7acea4cc
0	token_conllu_count_mismatch	$.pages[0].sentences[32]	iGeladi ipegitaGagi	2	82117289-be52-45d0-886d-a5747eb20ea2
0	token_conllu_count_mismatch	$.pages[0].sentences[33]	iGeladi ipegitegi liGeladi	3	50f93fbc-14fa-48e7-b8ba-22f744109348
0	token_conllu_count_mismatch	$.pages[0].sentences[34]	iGeladi ipegitegi naigi ane napioi	5	014fefb1-d5e3-48c8-9ac3-9e713a41407f
0	token_conllu_count_mismatch	$.pages[0].sentences[35]	iGeladi ipegitegi naigi me napioi	5	bb8018ba-76b3-43f2-82ea-78b6009c1f90
0	token_conllu_count_mismatch	$.pages[0].sentences[36]	iGeladi aGipegitegi weiigi	3	1da1bf7a-7975-4baf-821b-9df5c75ac297
