sent_uid	status	src_count	gold_count	src_forms	gold_forms	ignored_final_punct	text_orig
f081c545-c42b-463d-b57f-db87787f20e7	TOKEN_COUNT_MISMATCH	5	4	João liGeladi ane *T* napioi	João liGeladi ane napioi	yes	João liGeladi ane napioi
ee1a1190-7803-404c-83f6-49d3ccf63b0d	TOKEN_COUNT_MISMATCH	8	7	Eyodi dowediteloco naodigijedi me@ @icawataGa daGa me lionigipi	eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	yes	Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi
7b806584-75e5-4017-b9e2-ba97458903bd	TOKEN_COUNT_MISMATCH	4	3	Eyodi ane *T* niganaGacanajo	eyodi ane niganaGacanajo	yes	Eyodi ane niganaGacanajo
014fefb1-d5e3-48c8-9ac3-9e713a41407f	TOKEN_COUNT_MISMATCH	6	5	iGeladi ipegitegi naigi ane *T* napioi	iGeladi ipegitegi naigi ane napioi	yes	iGeladi ipegitegi naigi ane napioi
8f297896-5ee6-461f-86e3-0d4d4ef5a661	TOKEN_COUNT_MISMATCH	2	3	ninitibeci naGada	Ninitibeci naGada .	no	ninitibeci naGada .
38f73c1c-ddfb-4153-9310-d24214cd68e7	TOKEN_COUNT_MISMATCH	7	6	NaGani wetiGa ane *T* iwaGadi eniteloco iGonagi	NaGani wetiGa ane iwaGadi eniteloco iGonagi	yes	NaGani wetiGa ane iwaGadi eniteloco iGonagi
0575dd46-865a-4ba4-bd49-ed6db054eeb4	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
075356e6-f89c-4d83-b001-435d13b319dc	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
07bfcd00-7901-474d-bfb8-bf470266aafa	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
0de3d311-348a-4107-a191-9fc3f960c249	TOKEN_TABLE_UID_NOT_IN_GOLD	6					
10e550d6-df13-4527-8aee-aa23e3f2fcdd	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
13f012b0-ef62-4477-b4bd-00e000484874	TOKEN_TABLE_UID_NOT_IN_GOLD	6					
156fa9a4-4323-44f1-9cdc-ef5dc052b428	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
19401990-aa1d-4cf5-bea1-122254c6b77a	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
1ab7fa26-ed92-4d55-98d0-0d76396373f0	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
1e1fafc0-29c6-41d4-a0d2-4c825d9af376	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
1e9df213-90da-4674-8889-4ac858df72fe	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
27d94732-46ea-4286-a1d4-b2861806a579	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
2b6a6bee-392e-49f9-97a9-0afbb0af2eff	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
2c0248b3-8f68-46e9-b41c-9f7807572c87	TOKEN_TABLE_UID_NOT_IN_GOLD	8					
2c026af9-b8a1-4389-b658-00113b070dee	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
30ef1810-38e0-4cef-8db3-4dda590faa09	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
